account_id,observation_date,is_churn,total_events,uniq_prod_ct,total_freebies,pct_reading,pct_downloads_per_book,readingownedbook,ebookdownloaded,readingfreepreview,highlightcreated,freecontentcheckout,readingopenchapter,producttoclivebooklinkopened,livebooklogin
010c46dd9a47ed0faf58c3625ddc43f7,2020-03-01,False,9,1,0,0.88888888888888888889,0E-20,8,0,0,0,0,0,0,0
010f95c69f541588fe5667f69b8c99b2,2020-03-01,True,18,2,0,0.88888888888888888889,0E-20,16,0,0,0,0,0,0,2
0114e86df425d0506ea5722173af35d6,2020-03-01,False,9,2,0,1.00000000000000000000,0E-20,9,0,0,0,0,0,0,0
01156592a52eb25b9edb45ad11277fef,2020-03-01,True,33,3,0,0.81818181818181818182,0E-20,27,0,0,0,0,0,2,0
0116d20e9106ed0a25483358d60e2688,2020-03-01,True,8,4,0,0.25000000000000000000,1.2500000000000000,2,5,0,0,0,0,0,1
0117d8f6bc073de2c2edb4e9f2d66f26,2020-03-01,True,19,2,0,0.84210526315789473684,0.50000000000000000000,16,1,0,0,0,0,0,1
0131a886af4e9623e168c511721ba873,2020-03-01,True,11,2,0,0.72727272727272727273,1.00000000000000000000,8,2,0,0,0,0,0,1
0137cf7a39941220a946fe9b8298d6d7,2020-03-01,True,33,2,0,0.96969696969696969697,0E-20,32,0,0,0,0,0,0,1
013bc0a3160d5cb60b28a96cc9726b6b,2020-03-01,True,7,1,0,0.85714285714285714286,1.00000000000000000000,6,1,0,0,0,0,0,0
013ea25783029c2f0678aed7e1ae2720,2020-03-01,False,457,7,10,0.17505470459518599562,0.42857142857142857143,80,3,3,337,0,7,2,2
0142f9ae199840a9a34087065eeeae13,2020-03-01,True,6,2,0,0.50000000000000000000,0E-20,3,0,0,0,0,0,0,2
0148ec37e577cc638d0bae1c79907f64,2020-03-01,True,8,1,0,0.75000000000000000000,2.0000000000000000,6,2,0,0,0,0,0,0
014a35edbcdc4fef1368064acb4806d0,2020-03-01,False,7,3,0,0.71428571428571428571,0E-20,5,0,0,0,0,0,0,0
014e4ca2538b121d2a5d6082853a8932,2020-03-01,True,4,1,0,0.50000000000000000000,2.0000000000000000,2,2,0,0,0,0,0,0
014e95a17986af76d4375f5918fe9b90,2020-03-01,True,108,5,6,0.77777777777777777778,0E-20,84,0,6,0,0,0,1,2
015104dbccf9c90147c2c97cd3c35b30,2020-03-01,True,4,1,0,1.00000000000000000000,0E-20,4,0,0,0,0,0,0,0
01574045a48cb3bd3d762e3e6014e522,2020-03-01,True,293,17,18,0.74402730375426621160,0.23529411764705882353,218,4,3,4,3,12,3,4
0157a9c463d01fadba027ac09c35ecae,2020-03-01,True,9,2,1,0.88888888888888888889,0E-20,8,0,0,0,1,0,0,0
0158f48c7453bff4761244fa5246e8e4,2020-03-01,True,2,1,0,1.00000000000000000000,0E-20,2,0,0,0,0,0,0,0
015cb89e75cff57cc7dd6090aa7fffce,2020-03-01,True,8,5,0,0.25000000000000000000,0.40000000000000000000,2,2,0,0,0,0,0,0
0169cf885f882efd795951253db5cdfb,2020-03-01,True,78,2,0,0.94871794871794871795,0E-20,74,0,0,0,0,0,0,1
016a77b1fc80819a1b780b35f2d0d3dd,2020-03-01,True,2,1,0,0.50000000000000000000,0E-20,1,0,0,0,0,0,0,0
016bbae8f4e671b66eb6c5ba82bfe870,2020-03-01,False,30,9,3,0.26666666666666666667,1.8888888888888889,8,17,3,0,0,0,0,0
016d49623216ffeebe061f28bed5c6b9,2020-03-01,True,5,2,1,0.20000000000000000000,1.5000000000000000,1,3,0,0,1,0,0,0
0170822246be68204392fd2cb917963f,2020-03-01,True,60,2,36,0.30000000000000000000,0.50000000000000000000,18,1,36,0,0,0,0,3
0171115c1cd02539dd383779728c3950,2020-03-01,False,7,5,2,0E-20,0.60000000000000000000,0,3,0,0,1,1,0,0
01726336e58f8744e92de70283da406b,2020-03-01,True,5,3,0,0.20000000000000000000,0.66666666666666666667,1,2,0,0,0,0,0,1
0177318b471c1cf739eb7c0c29472640,2020-03-01,True,9,1,0,0.77777777777777777778,1.00000000000000000000,7,1,0,0,0,0,0,0
017e765c51111423faaa090d463ea62d,2020-03-01,True,34,3,0,0.79411764705882352941,0E-20,27,0,0,5,0,0,0,1
0180671ab29402b36f23e5cbf26fa9e6,2020-03-01,True,66,3,0,0.86363636363636363636,0E-20,57,0,0,0,0,0,0,4
0183eca7b0d7073fd956772e51a311cb,2020-03-01,True,6,2,0,0.50000000000000000000,0E-20,3,0,0,0,0,0,0,1
0184859d92fea02bfa8d31f8d37ca989,2020-03-01,False,12,4,3,0.50000000000000000000,0E-20,6,0,3,0,0,0,2,1
01894f77220771428abaecbfa2bcc8f7,2020-03-01,False,71,4,8,0.64788732394366197183,1.7500000000000000,46,7,0,0,0,8,3,0
01922cbeae89ad4d79ab769e84e7c5da,2020-03-01,False,3,1,0,1.00000000000000000000,0E-20,3,0,0,0,0,0,0,0
0192adec1a16b0565dc3f70b5d235a40,2020-03-01,True,2,1,0,1.00000000000000000000,0E-20,2,0,0,0,0,0,0,0
0197fcd95060131d9bc5e564f842ed53,2020-03-01,False,2,1,0,1.00000000000000000000,0E-20,2,0,0,0,0,0,0,0
019c0b19b1d9e645e8166594e37c3b01,2020-03-01,True,10,4,0,0.60000000000000000000,0.75000000000000000000,6,3,0,0,0,0,0,0
019d385eb67632a7e958e23f24bd07d7,2020-03-01,True,13,1,0,0.76923076923076923077,1.00000000000000000000,10,1,0,0,0,0,0,0
019eb2754ce4174ee90837186a3d5cc4,2020-03-01,True,16,2,0,0.93750000000000000000,0E-20,15,0,0,0,0,0,0,1
01abc78aed0ab38aaac8a7111ec20973,2020-03-01,True,37,13,3,0.37837837837837837838,0.46153846153846153846,14,6,3,0,0,0,6,1
01aca2f769ed470eb66cdfb4c00ea107,2020-03-01,True,93,6,12,0.73118279569892473118,0E-20,68,0,4,0,0,8,7,4
01b5578cabb550ba05b21036c0f32433,2020-03-01,True,55,5,1,0.74545454545454545455,0.40000000000000000000,41,2,0,8,1,0,0,1
01b58e7913bf6c3fbdb6fefc9fa8fd56,2020-03-01,False,12,5,0,0.16666666666666666667,1.4000000000000000,2,7,0,0,0,0,0,1
01b7575c38dac42f3cfb7d500438b875,2020-03-01,True,22,4,10,0.36363636363636363636,0E-20,8,0,0,0,0,10,0,1
01be160fee78d8b75e72e52d203ca17a,2020-03-01,True,20,2,0,0.80000000000000000000,0E-20,16,0,0,0,0,0,2,1
01c6cc6af6014147f45d22dff7a61b44,2020-03-01,True,6,1,0,1.00000000000000000000,0E-20,6,0,0,0,0,0,0,0
01cacb39be2c38670d4a7023baf4c3b1,2020-03-01,True,12,1,0,0.75000000000000000000,2.0000000000000000,9,2,0,0,0,0,0,0
01ce43d888c74b335a022132182521d6,2020-03-01,True,28,7,10,0.39285714285714285714,0E-20,11,0,8,0,0,2,4,2
01d0bc81d18a171357eff200f1da0c5a,2020-03-01,True,3,1,0,1.00000000000000000000,0E-20,3,0,0,0,0,0,0,0
01d538d4fbff4d11fec1f8cbf108a016,2020-03-01,True,37,19,2,0.18918918918918918919,1.2105263157894737,7,23,0,1,2,0,0,0
01ded4259d101feb739b06c399e9cd9c,2020-03-01,False,14,9,0,0.14285714285714285714,1.1111111111111111,2,10,0,0,0,0,0,1
01df615589842c3916305ad01c479573,2020-03-01,True,29,10,8,0.10344827586206896552,0.50000000000000000000,3,5,8,0,0,0,11,1
01e7a7cd54da8644cd09f311f927d884,2020-03-01,True,20,5,11,0.15000000000000000000,0E-20,3,0,0,0,0,11,5,0
01eb0cd19f64cf45e8f383c07f1f67d0,2020-03-01,False,44,6,32,0.02272727272727272727,0E-20,1,0,6,0,0,26,0,2
01ecae11a8cb386860f74215ba5e910f,2020-03-01,True,3,1,0,1.00000000000000000000,0E-20,3,0,0,0,0,0,0,0
01edfe9e99c2cb54c987700056bda338,2020-03-01,True,30,11,7,0.30000000000000000000,0E-20,9,0,5,0,0,2,7,1
01f3ae292bbeea9a6cbe6c6f6e812cde,2020-03-01,True,16,3,3,0.62500000000000000000,0.66666666666666666667,10,2,0,0,0,3,0,0
01f78be6f7cad02658508fe4616098a9,2020-03-01,False,78,6,5,0.55128205128205128205,0E-20,43,0,0,0,0,5,0,3
020355e87a8ae45d7c78d2408b840b21,2020-03-01,True,54,3,1,0.50000000000000000000,0E-20,27,0,0,0,1,0,2,1
02052c0f4599c2aa6bead905338f1214,2020-03-01,False,16,3,3,0.62500000000000000000,0E-20,10,0,1,0,0,2,1,2
0207443cb202838af25e565b55b38bc1,2020-03-01,True,3,2,0,0.33333333333333333333,0E-20,1,0,0,0,0,0,0,1
0209c36ad816a6191ef912801c62c2bd,2020-03-01,False,89,8,2,0.75280898876404494382,0.50000000000000000000,67,4,0,0,2,0,15,0
021627f30de09454ac43b5a8185b6f67,2020-03-01,True,120,7,6,0.35000000000000000000,1.00000000000000000000,42,7,0,44,0,6,1,2
